"name"
"Bad Water Brewing"
"Barley Brothers Brewery and Grill"
"Barnstar Brewing Company"
"Barrio Brewing Co."
"Beast Brewing Company"
"Beaver Street Brewery"
"Beer Research Institute"
"Black Bridge Brewery"
"Black Hole Beer Company"
"Black Mountain Brewing Co."
"Bold Barley Brewing"
"Borderlands Brewing Company"
"Brewers Restaurant & Sports Bar"
"Cartel Coffee Lab"
"Casa Arriba Brewing Company"
"College Street Brewhouse & Pub"
"Cosmic Beer & Distributing"
"Desert Eagle Brewing Company"
"Dragoon Brewing Company"
"Dubina Brewing Company"
"Fate Brewing Company (AZ)"
"Flagstaff Brewing Company"
"Four Peaks Brewing Company"
"Freak’N Brewing Company"
"Gentle Bens Brewing Company"
"Grand Canyon Brewing Company"
"Granite Mountain Brewing"
"Historic Brewing Company"
"Huss Brewing Company"
"Iron John’s Brewing Company, LLC"
"Lonesome Valley Brewing"
"Lumberyard Brewing Company"
"Mad Hatter Brew Pub"
"Mother Bunch Brewing"
"Mother Road Brewing Company"
"Mudshark Brewing Company"
"Nimbus Brewing Company"
"North Mountain Brewing Company"
"O.H.S.O. Eatery & NanoBrewery"
"Oak Creek Brewing Co."
"Old Bisbee Brewing Company"
"Old World Brewery"
"Owl’s Orchard Brewery"
"Papago Brewing"
"Peoria Artisan Brewery"
"Perch Pub & Brewery"
"Phoenix Ale Brewery"
"Pinetop Brewing Company"
"Pinnacle Peak Patio Steakhouse"
"Prescott Brewing Company"
"Prison Hill Brewing Company"
"Pueblo Vida Brewing Company"
"Rock Bottom Arrowhead"
"Rock Bottom Scottsdale"
"SanTan Brewing Company"
"Scottsdale Beer Company"
"Sentinel Peak Brewing Company"
"Sleepy Dog Saloon & Brewery"
"Sonoran Brewing Company"
"Sun Up Brewing Company (Sonora Brewhouse)"
"Ten Fifty-Five Brewing"
"THAT Brewery & Pub at Rimside"
"The Address Brewing Co"
"Thunder Canyon Brewery"
"Uncle Bear’s Brewery"
"Verde Brewing Company"
"Wanderlust Brewing Company"
"beer"
"abv","nratings","url.text","url.href"
"6.2","0","Barrio Copperhead Pale Ale","http://www.ratebeer.com/beer/barrio-copperhead-pale-ale/102032/"
"5.6","4","Barrio Dos Hermanos Dunkel Weizen","http://www.ratebeer.com/beer/barrio-dos-hermanos-dunkel-weizen/119080/"
"","2","Barrio El Charro Cafe 1922","http://www.ratebeer.com/beer/barrio-el-charro-cafe-1922/210937/"
"9.4","6","Barrio Double IPA","http://www.ratebeer.com/beer/barrio-double-ipa/95285/"
"5.5","6","Barrio ESB","http://www.ratebeer.com/beer/barrio-esb/93236/"
"5.8","3","Barrio Father Joe’s Penitential Ale","http://www.ratebeer.com/beer/barrio-father-joes-penitential-ale/114551/"
"6.5","2","Barrio Harvest Porter","http://www.ratebeer.com/beer/barrio-harvest-porter/135954/"
"5.8","0","Barrio Hefeweizen","http://www.ratebeer.com/beer/barrio-hefeweizen/127198/"
"","0","Barrio NCAAle","http://www.ratebeer.com/beer/barrio-ncaale/101616/"
"7","8","Barrio Holla Bock","http://www.ratebeer.com/beer/barrio-holla-bock/140034/"
"","0","Barrio Nut Brown","http://www.ratebeer.com/beer/barrio-nut-brown/101617/"
"7.2","24","Barrio India Pale Ale","http://www.ratebeer.com/beer/barrio-india-pale-ale/101619/"
"","0","Barrio Oatmeal Stout","http://www.ratebeer.com/beer/barrio-oatmeal-stout/101618/"
"5.6","1","Barrio Marzen","http://www.ratebeer.com/beer/barrio-marzen/165158/"
"","0","Barrio Red Cat Amber","http://www.ratebeer.com/beer/barrio-red-cat-amber/101614/"
"7","0","Barrio Mocha Java Stout","http://www.ratebeer.com/beer/barrio-mocha-java-stout/101620/"
"","6","Barrio Rojo","http://www.ratebeer.com/beer/barrio-rojo/236845/"
"6.2","0","Barrio Nolan’s Porter","http://www.ratebeer.com/beer/barrio-nolans-porter/98880/"
"","0","Barrio Taylor Jayne’s Raspberry Ale","http://www.ratebeer.com/beer/barrio-taylor-jaynes-raspberry-ale/101615/"
"11.5","8","Barrio Rae’s Red","http://www.ratebeer.com/beer/barrio-raes-red/140035/"
